artist_names,title,count,document_ids
['Led Zeppelin'],Whole Lotta Love,2,"66f88800fb9f17a601a93d8a, 66f88800fb9f17a601a93d95"
['Way Out West'],Intensify,2,"66f88809fb9f17a601a9cb7c, 66f88809fb9f17a601a9cb59"
['Comtron'],Follow The Money,2,"66f88808fb9f17a601a9bf21, 66f88808fb9f17a601a9bf33"
['Johnny Clegg & Savuka'],"Cruel, Crazy, Beautiful World",2,"66f8880bfb9f17a601a9f6e4, 66f8880bfb9f17a601a9f701"
['El Coco'],Mondo Disco,2,"66f88814fb9f17a601aa8d4c, 66f88814fb9f17a601aa8d59"
['The Rolling Stones'],Got Live If You Want It!,2,"66f8880bfb9f17a601a9f001, 66f8880bfb9f17a601a9f00b"
['Japan'],Quiet Life,2,"66f8880ffb9f17a601aa4027, 66f8880ffb9f17a601aa41ab"
['Serge Gainsbourg'],Serge Gainsbourg,2,"66f88801fb9f17a601a94f46, 66f88801fb9f17a601a94f62"
['My Mine'],Can Delight,2,"66f88816fb9f17a601aaae0f, 66f88816fb9f17a601aaae0d"
['Black Sabbath'],Black Sabbath,2,"66f887fffb9f17a601a92d13, 66f887fffb9f17a601a92c86"
['Paul Hardcastle'],Rain Forest,2,"66f88808fb9f17a601a9c6e5, 66f88808fb9f17a601a9c723"
['DJ Preach & Marco G'],Poca Del Machine,2,"66f8880efb9f17a601aa209a, 66f8880efb9f17a601aa209e"
['Cascada'],Everytime We Touch,2,"66f88805fb9f17a601a984be, 66f88805fb9f17a601a9849e"
['Black Uhuru'],Chill Out,2,"66f88807fb9f17a601a9afc5, 66f88807fb9f17a601a9afd3"
['Meco Monardo'],Pop Goes The Movies,2,"66f88807fb9f17a601a9b28a, 66f88807fb9f17a601a9b296"
['Real McCoy'],Another Night,2,"66f88807fb9f17a601a9b708, 66f88807fb9f17a601a9b73b"
['Red Hot Chili Peppers'],By The Way,2,"66f88808fb9f17a601a9c9d5, 66f88808fb9f17a601a9c9d3"
['Mica Paris'],Whisper A Prayer,2,"66f88815fb9f17a601aaa17b, 66f88815fb9f17a601aaa181"
['Lovebug Starski'],House Rocker,2,"66f88812fb9f17a601aa6af7, 66f88812fb9f17a601aa6af9"
['DeBarge'],Rhythm Of The Night,2,"66f88815fb9f17a601aa9ad9, 66f88815fb9f17a601aa9ae5"
['Bee Gees'],E·S·P,2,"66f88804fb9f17a601a9838b, 66f88804fb9f17a601a98395"
['Aneka'],Japanese Boy,2,"66f88808fb9f17a601a9c316, 66f88808fb9f17a601a9c321"
['John Farnham'],Age Of Reason,2,"66f88802fb9f17a601a95bb3, 66f88802fb9f17a601a95baf"
['The Pogues'],If I Should Fall From Grace With God,2,"66f88809fb9f17a601a9ce6a, 66f88809fb9f17a601a9ceb0"
['Keane'],Perfect Symmetry,2,"66f88815fb9f17a601aaa6b6, 66f88815fb9f17a601aaa6b8"
['Jeffrey Osborne'],Stay With Me Tonight,2,"66f88815fb9f17a601aaa23a, 66f88815fb9f17a601aaa23c"
['Herbert Grönemeyer'],Bleibt Alles Anders,2,"66f88814fb9f17a601aa8694, 66f88814fb9f17a601aa8693"
['Gary Numan'],Machine + Soul,2,"66f88811fb9f17a601aa5e42, 66f88811fb9f17a601aa5e35"
['Pharoahe Monch'],Simon Says / Behind Closed Doors,2,"66f8880afb9f17a601a9e886, 66f8880afb9f17a601a9e889"
['Real McCoy'],It's On You,2,"66f88807fb9f17a601a9b6e7, 66f88814fb9f17a601aa92f8"
['Boyzone'],A Different Beat,2,"66f88814fb9f17a601aa9076, 66f88814fb9f17a601aa9077"
['The Future Sound Of London'],Lifeforms,2,"66f88801fb9f17a601a9426b, 66f88801fb9f17a601a94259"
['Front Line Assembly'],Millennium,2,"66f88805fb9f17a601a98e52, 66f88805fb9f17a601a99238"
['Deniece Williams'],Let's Hear It For The Boy,2,"66f88806fb9f17a601a99af0, 66f88806fb9f17a601a99af6"
['Madonna'],Ray Of Light,2,"66f8880efb9f17a601aa286e, 66f8880efb9f17a601aa2874"
['Eric B. & Rakim'],Follow The Leader,2,"66f88802fb9f17a601a95a42, 66f88802fb9f17a601a95a86"
['Motörhead'],Ace Of Spades,2,"66f88808fb9f17a601a9bad5, 66f88808fb9f17a601a9bac9"
['Kurtis Blow'],Ego Trip,2,"66f88812fb9f17a601aa6ae8, 66f88812fb9f17a601aa6ae6"
['Alpha Blondy'],Apartheid Is Nazism,2,"66f8880bfb9f17a601a9f72d, 66f8880bfb9f17a601a9f735"
['The Epoxies'],Epoxies,2,"66f88808fb9f17a601a9bcfc, 66f88808fb9f17a601a9bd01"
['Hurricane #1'],Only The Strongest Will Survive,2,"66f88814fb9f17a601aa8d88, 66f88814fb9f17a601aa8d92"
['Real McCoy'],One More Time,2,"66f88807fb9f17a601a9b777, 66f88807fb9f17a601a9b75f"
['Jackson Browne'],Lawyers In Love,2,"66f88805fb9f17a601a98be9, 66f88805fb9f17a601a98c0f"
['Pulp'],This Is Hardcore,2,"66f88806fb9f17a601a997a3, 66f88812fb9f17a601aa714e"
['Red Lorry Yellow Lorry'],Nothing Wrong,2,"66f88807fb9f17a601a9b952, 66f88807fb9f17a601a9b94d"
['Chilly'],For Your Love,2,"66f88802fb9f17a601a96073, 66f88807fb9f17a601a9b403"
['Samantha Fox'],I Wanna Have Some Fun,2,"66f8880dfb9f17a601aa1f7f, 66f8880dfb9f17a601aa1f82"
"['Prince', 'The New Power Generation']",Diamonds And Pearls,2,"66f88814fb9f17a601aa9761, 66f88814fb9f17a601aa9760"
['Gazebo'],Telephone Mama,2,"66f88800fb9f17a601a93b6b, 66f88810fb9f17a601aa4388"
['Groove Coverage'],7 Years & 50 Days,2,"66f88807fb9f17a601a9ae58, 66f88807fb9f17a601a9ae5f"
['King Tee'],Act A Fool,2,"66f8880cfb9f17a601aa0fe8, 66f8880cfb9f17a601aa0ff1"
['Luke Slater'],Freek Funk,2,"66f8880cfb9f17a601aa0951, 66f8880dfb9f17a601aa19de"
['Motörhead'],Overkill,2,"66f88807fb9f17a601a9ba75, 66f88807fb9f17a601a9baac"
['Olivia Newton-John'],Soul Kiss,2,"66f88815fb9f17a601aa99cf, 66f88816fb9f17a601aaad76"
['Donna Summer'],Bad Girls,2,"66f88805fb9f17a601a98b6c, 66f88805fb9f17a601a98ddc"
['Cat Power'],The Greatest,2,"66f88807fb9f17a601a9b22c, 66f88807fb9f17a601a9b22f"
['Jonathan Richman & The Modern Lovers'],Rock 'N' Roll With The Modern Lovers,2,"66f88801fb9f17a601a94309, 66f88801fb9f17a601a9432d"
['Zazie'],"Je, Tu, Ils",2,"66f8880ffb9f17a601aa3eb6, 66f8880ffb9f17a601aa3eb0"
['Magical Ring'],Light Flight / More And More,2,"66f88810fb9f17a601aa4789, 66f88815fb9f17a601aaa05b"
['Nik Kershaw'],Human Racing,2,"66f88812fb9f17a601aa6ff4, 66f88812fb9f17a601aa6ffa"
['Black Sabbath'],Sabbath Bloody Sabbath,2,"66f887fffb9f17a601a92dfa, 66f88813fb9f17a601aa7c58"
['David Charvet'],Leap Of Faith,2,"66f88815fb9f17a601aaa6aa, 66f88815fb9f17a601aaa6a8"
['Zoot Woman'],Living In A Magazine,2,"66f88802fb9f17a601a958db, 66f88802fb9f17a601a958e8"
